,Country,Clo,Met,Relative humidity (%),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal preference,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
65,Japan,0.49,,72.8,65,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,1.0,no change,3.0,26.9,80.5,18.0,64.4,Database 2
66,Japan,,,72.8,66,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,1.0,cooler,3.0,26.9,80.5,18.0,64.4,Database 2
67,Japan,0.46,,72.8,67,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,0.0,no change,3.0,26.9,80.5,18.0,64.4,Database 2
68,Japan,0.46,,72.8,68,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,0.0,no change,2.0,26.9,80.5,18.0,64.4,Database 2
69,Japan,0.46,,72.8,69,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-0.0,cooler,4.0,26.9,80.5,18.0,64.4,Database 2
70,Japan,0.46,,72.8,70,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-2.0,no change,4.0,26.9,80.5,18.0,64.4,Database 2
71,Japan,0.45,,72.8,71,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,0.0,no change,2.0,26.9,80.5,18.0,64.4,Database 2
72,Japan,0.46,,72.8,72,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,1.0,,4.0,26.9,80.5,18.0,64.4,Database 2
73,Japan,,,72.8,73,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,1.0,cooler,4.0,26.9,80.5,18.0,64.4,Database 2
74,Japan,0.37,,48.4,9172,"Tanabe, S. Iwahashi, Y. Tsushima, S. Nishihara, N. Thermal comfort and productivity in offices under mandatory electricity savings after the Great East Japan earthquake, Architectural Science Review 56(1) (2013), 4ÛÒ13.",Shin-ichi Tanabe,2006.0,Summer,Cfa,Humid subtropical,Tokyo,Office,Air Conditioned,-1.0,,,28.4,83.2,26.4,79.5,Database 2
