,PMV,PPD,SET,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Ta_h (¡C),Ta_m (¡C),Ta_l (¡C),Tg_h (¡C),Tg_m (¡C),Tg_l (¡C),Blind (curtain),Outdoor monthly air temperature (¡F)
108,-0.466666667,29.33333333,22.63666667,1.3,26.4,23.86666667,1.9,0,26.4,23.23333333,23.93333333,24.06666667,23.76666667,23.4,0,50
109,0.033333333,21.66666667,24.78333333,1.4,26.93333333,27.26666667,1.156666667,0,26.93333333,22.83333333,23,23.03333333,23.16666667,22.36666667,0,50
110,-0.066666667,11,23.65333333,1.3,26.86666667,32.63333333,1.153333333,1,26.86666667,22.66666667,23.66666667,23.46666667,23.43333333,25.53333333,0,50
111,-1.133333333,57.66666667,20.34,1.2,25.53333333,20.46666667,2.92,1,25.53333333,23.23333333,23.7,23.76666667,23.6,23.36666667,0,50
112,-0.433333333,23.66666667,22.16333333,1,27,30.66666667,1.926666667,1,27,23.13333333,24,23.93333333,23.8,25.26666667,0,50
113,-0.166666667,21,24.10333333,1.2,27.73333333,33.93333333,0.343333333,0,27.73333333,22.53333333,23.03333333,22.63333333,22.8,22.9,0,50
114,-2.033333333,74,17.27333333,1.2,25.26666667,22.5,2.016666667,0,25.26666667,22.9,23.6,23.33333333,23.3,23.53333333,0,50
115,-0.466666667,29.33333333,22.63666667,1.2,26.4,23.86666667,1.9,0,26.4,23.23333333,23.93333333,24.06666667,23.76666667,24.03333333,0,50
116,-1.133333333,57.66666667,20.34,1.2,25.53333333,20.46666667,2.92,1,25.53333333,23.23333333,23.7,23.76666667,23.6,23.36666667,0,50
117,-0.466666667,26,23,1,25.8,20.33333333,2.15,1,25.8,23.4,23.83333333,23.93333333,23.76666667,23.46666667,0,50
118,-1.266666667,37.33333333,18.44333333,1.5,24.86666667,17.36666667,3.873333333,0,24.86666667,23.16666667,22.5,23.33333333,23.33333333,24.06666667,0,50
119,-0.366666667,30.66666667,23.38,1.2,26.6,27.06666667,1.893333333,0,26.6,22.9,23.23333333,23.23333333,23.16666667,22.96666667,0,50
120,-1.166666667,48.66666667,21.43333333,1,26.3,23.83333333,0.533333333,0,26.3,23.2,23.7,23.3,23.4,22.46666667,0,50
121,-1.2,55.33333333,19.71333333,1.6,25.43333333,22,2.98,2,25.43333333,23.1,23.13333333,23.4,23.4,24.43333333,0,50
122,0.333333333,15.33333333,23.95666667,2,24.66666667,25.33333333,1.546666667,2,24.66666667,22.56666667,23.76666667,23.23333333,23.2,23.36666667,1,50
123,0.333333333,15.33333333,23.95666667,2,24.66666667,25.33333333,1.546666667,2,24.66666667,22.56666667,23.76666667,23.23333333,23.2,23.36666667,1,50
124,-0.8,28.33333333,20.68333333,1.9,25.3,22.2,2.793333333,1,25.3,23.13333333,22.73333333,23.43333333,23.4,23.46666667,0,50
125,0.5,11,25.48,2,23.6,21.1,1.82,2,23.6,22.6,23.9,23.1,23.1,22.2,1,50
126,0.1,5,23.71,1.7,23.6,21.1,1.82,2,23.6,22.6,23.9,23.1,23.1,22.2,1,50
127,-0.3,7,20.66,2,23.6,21.1,1.82,2,23.6,22.6,23.9,23.1,23.1,22.2,1,50
128,1.4,44,31.43,1.6,29.6,21.8,0.06,0,29.6,27.7,28.2,27.9,28.1,26.1,0,50
129,0.8,20,28.97,1.9,27.2,29.5,0.06,1,27.2,21.9,23.6,23,23,22.8,0,50
130,0.3,6,25.49,1.3,27.2,28.7,0.04,1,27.2,22.5,24,23.8,23.6,22.8,0,50
131,0.4,8,26.27,1.2,27.2,28.3,0.04,1,27.2,23.1,24.4,23.9,23.9,24.1,1,50
132,0.3,7,25.59,1.2,27.3,27.7,0.04,0,27.3,23.2,24.6,24.4,24,24.4,1,50
133,0.2,5,25.02,1.2,27.3,27.7,0.04,0,27.3,23.2,24.6,24.4,24,24.4,0,50
134,0.4,8,26.19,1.2,27.1,27.7,0.02,0,27.1,23.4,24.7,24.6,24.1,24.6,0,50
135,0.7,17,28.19,1.2,27.1,27.7,0.02,1,27.1,23.4,24.7,24.6,24.1,24.6,0,50
136,1.3,41,26.94,2.8,26.6,31.6,1.52,0,26.6,22.6,23.9,23.6,23.5,25.3,0,50
137,0.3,7,25.81,1.2,26.8,33.5,0.02,0,26.8,22.5,23.5,23.4,23.3,25.6,0,50
138,0.3,7,25.61,1.3,26.8,33.5,0.02,1,26.8,22.5,23.5,23.4,23.3,25.6,0,50
139,-1.4,44,18.78,1.3,26.8,33.8,1,0,26.8,22.5,23.5,23.5,23.4,25.7,0,50
140,1.2,34,27.5,2.5,26.8,33.8,1,2,26.8,22.5,23.5,23.5,23.4,25.7,0,50
141,1,24,30.54,1.5,26.8,32.3,0.2,0,26.8,23,23,23.5,23.5,26,0,50
142,0.2,6,25.31,1.4,26.8,32.3,0.2,0,26.8,23,23,23.5,23.5,26,0,50
143,0.5,10,26.31,1.7,26.8,32.3,0.2,2,26.8,23,23,23.5,23.5,26,0,50
144,1.2,36,32.9,1.8,26.8,32.3,0.2,0,26.8,23,23,23.5,23.5,26,0,50
145,0,5,24.9,1.2,26.8,32.3,0.2,0,26.8,23,23,23.5,23.5,26,0,50
146,-1.2,35,18.76,1.2,26.9,33.4,2.34,0,26.9,23,23.3,23.6,23.6,25.8,0,50
