,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Thermal sensation acceptability,Air movement acceptability,Thermal comfort,Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡F)
166,0.2,6.0,25.47,0.56,1.1,26.4,38.2,0.2,1.0,0.0,1.0,3.0,79.4,26.3,79.3,39.0,78.6
167,0.1,5.0,25.52,0.75,1.3,25.4,41.7,0.19,-1.0,1.0,1.0,5.0,77.7,24.1,75.4,37.52,78.6
168,-0.7,15.0,22.6,0.56,1.2,23.9,44.7,0.31,0.0,1.0,1.0,4.0,75.0,23.7,74.6,60.35,78.6
169,-0.2,6.0,24.81,0.67,1.2,23.5,44.9,0.16,0.0,1.0,1.0,5.0,74.3,23.4,74.0,31.25,78.6
170,-0.3,7.0,24.18,0.61,1.2,23.5,44.9,0.12,-2.0,1.0,1.0,5.0,74.2,23.4,74.0,24.48,78.6
171,0.0,5.0,25.74,0.76,1.2,23.7,43.9,0.13,-2.0,1.0,1.0,5.0,74.7,23.8,74.8,25.96,78.6
172,0.2,6.0,26.36,0.81,1.3,23.6,46.4,0.13,1.0,0.0,1.0,4.0,74.5,23.0,73.4,26.45,78.6
173,-0.5,10.0,23.44,0.5,1.3,23.4,46.3,0.14,-1.0,1.0,1.0,6.0,74.1,22.7,72.9,27.87,78.6
174,0.3,7.0,26.1,0.54,1.4,25.9,39.7,0.13,-1.0,1.0,1.0,5.0,78.5,24.7,76.4,26.51,78.6
175,-0.9,21.0,22.61,0.4,1.1,24.5,47.0,0.15,-1.0,1.0,1.0,4.0,76.1,24.3,75.7,29.77,78.6
176,-0.1,5.0,24.7,0.56,1.1,24.7,45.9,0.11,-1.0,1.0,1.0,5.0,76.4,24.6,76.3,21.04,78.6
177,-2.1,81.0,19.13,0.4,1.1,24.3,46.4,0.49,0.0,1.0,1.0,5.0,75.8,23.7,74.7,96.58,78.6
178,-0.4,8.0,23.38,0.41,1.5,23.6,43.8,0.17,-1.0,1.0,1.0,5.0,74.5,23.1,73.6,34.2,78.6
179,0.0,5.0,25.19,0.78,1.4,23.0,46.2,0.24,-1.0,1.0,1.0,4.0,73.4,22.7,72.8,47.74,78.6
180,0.0,5.0,25.23,0.67,1.3,24.1,43.2,0.13,-1.0,1.0,1.0,5.0,75.3,23.4,74.1,25.9,78.6
181,-1.1,30.0,21.52,0.39,1.1,23.1,45.5,0.11,-2.0,1.0,0.0,3.0,73.6,22.9,73.2,20.67,78.6
182,-0.7,15.0,22.65,0.5,1.2,23.6,41.3,0.3,-1.0,1.0,1.0,4.0,74.5,23.8,74.9,58.38,78.6
183,0.2,6.0,25.3,0.45,1.6,24.4,48.9,0.23,-2.0,1.0,1.0,5.0,76.0,24.6,76.3,45.28,78.6
184,-1.5,53.0,20.26,0.4,1.1,24.9,39.8,0.15,-2.0,1.0,1.0,6.0,76.9,22.7,72.9,28.79,78.6
185,0.3,7.0,25.86,0.5,1.7,23.6,42.8,0.08,-1.0,1.0,1.0,6.0,74.4,22.8,73.0,14.83,78.6
186,0.1,5.0,25.13,0.5,1.3,24.5,43.9,0.08,-1.0,1.0,1.0,4.0,76.1,24.4,75.9,15.81,78.6
187,0.1,5.0,25.07,0.54,1.3,24.4,43.9,0.08,0.0,1.0,1.0,5.0,76.0,24.2,75.6,14.83,78.6
