City,Country,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Clo,Met,Thermal sensation
Karachi,Pakistan,25,2,0.12,25.2,25.5,44.8,13.3,0.75,0.77,0
Karachi,Pakistan,25,2,0.46,22.8,22.9,17.6,13.3,1.12,0.77,-1
Karachi,Pakistan,25,2,0.65,23,22.8,17.9,13.3,1.61,1.88,0
Karachi,Pakistan,25,2,1.62,23.3,22.7,18,13.3,1.14,1.88,0
Karachi,Pakistan,25,2,0.04,25.4,25.1,35.6,13.3,1.26,0.65,0
Karachi,Pakistan,25,2,0.01,27,26.9,27,13.3,1.26,1.88,0
Karachi,Pakistan,25,2,0.01,29.5,29.3,29.4,13.3,1.26,1.01,0
Karachi,Pakistan,25,2,0.03,25.4,24.7,56,13.3,1.26,1.01,0
Karachi,Pakistan,25,2,0.02,27.7,27.5,41.1,13.3,1.24,0.89,0
Karachi,Pakistan,25,2,0.01,23,23,36.4,13.3,1.24,1.01,-2
Karachi,Pakistan,25,2,0.01,21.9,21.9,36.7,13.3,1.24,1.88,-2
Karachi,Pakistan,25,2,0.01,21.3,21.2,37.7,13.3,1.24,1.01,-2
Karachi,Pakistan,25,2,0.01,21.1,21.1,38.2,13.3,1.24,0.77,-2
Karachi,Pakistan,25,2,0.02,22.3,22.6,36.7,13.3,0.77,1.88,0
Karachi,Pakistan,25,2,0.01,23.3,23.7,34.4,13.3,0.75,0.89,0
Karachi,Pakistan,25,2,0.01,24.5,24.9,30.9,13.3,0.75,0.89,0
Karachi,Pakistan,25,2,0.01,26.4,26.9,20.4,13.3,0.75,1.01,0
Karachi,Pakistan,25,2,0.01,26.5,26.8,12.9,13.3,0.75,0.77,0
Karachi,Pakistan,25,2,0.01,26.1,26.2,21.9,13.3,1.24,0.77,0
Karachi,Pakistan,25,2,0.01,25.8,25.9,27.1,13.3,1.24,1.88,0
