,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡F)
437,0.0,5.0,25.23,0.66,1.6,21.5,30.6,0.0,0.0,70.7,22.1,71.8,22.0,71.6,3.0,0.0,39.1
438,-0.5,10.0,23.54,0.68,1.2,21.9,30.3,0.0,0.0,71.4,22.5,72.5,22.4,72.3,0.0,0.0,39.1
439,0.5,10.0,27.95,0.94,1.6,22.4,30.2,0.0,-1.0,72.3,22.5,72.5,22.4,72.3,0.0,0.0,39.1
440,0.8,18.0,29.8,1.0,1.8,22.3,29.8,0.0,0.0,72.1,22.4,72.3,22.4,72.3,1.0,0.0,39.1
441,0.1,5.0,25.62,0.89,1.2,22.7,30.3,0.0,0.0,72.9,23.1,73.6,23.0,73.4,1.0,0.0,39.1
442,0.4,9.0,27.28,0.77,1.6,22.9,29.3,0.1,0.0,73.2,23.4,74.1,23.2,73.8,0.0,19.69,39.1
443,0.1,5.0,26.31,1.03,1.2,21.9,32.4,0.0,0.0,71.4,23.3,73.9,23.0,73.4,1.0,0.0,39.1
444,-0.1,5.0,24.85,0.76,1.2,22.5,30.4,0.0,0.0,72.5,23.7,74.7,23.4,74.1,0.0,0.0,39.1
445,-0.1,5.0,24.84,0.82,1.2,22.2,31.8,0.0,-1.0,72.0,22.9,73.2,22.7,72.9,0.0,0.0,39.1
446,0.6,14.0,28.0,0.71,1.7,23.6,28.0,0.0,0.0,74.5,23.4,74.1,23.4,74.1,0.0,0.0,39.1
447,0.5,11.0,28.32,1.01,1.7,21.2,19.7,0.03,1.0,70.2,21.4,70.5,21.4,70.4,0.0,5.91,24.0
448,0.4,9.0,27.78,1.05,1.6,21.3,20.2,0.03,0.0,70.4,21.8,71.2,21.6,70.9,-1.0,5.91,24.0
449,0.2,6.0,26.78,1.31,1.2,21.1,20.0,0.03,-2.0,69.9,21.5,70.7,21.4,70.4,0.0,5.91,24.0
450,0.3,7.0,27.4,1.11,1.4,21.2,20.3,0.04,0.0,70.1,21.7,71.1,21.6,70.8,0.0,7.87,24.0
451,0.3,7.0,27.07,1.06,1.4,21.8,19.1,0.03,1.0,71.2,22.3,72.1,22.1,71.9,0.0,5.91,24.0
452,-0.2,6.0,24.52,0.82,1.2,22.0,19.4,0.04,-1.0,71.6,22.6,72.7,22.4,72.4,0.0,7.87,24.0
453,0.5,11.0,28.19,1.01,1.6,22.2,19.5,0.04,0.0,72.0,22.8,73.0,22.6,72.7,1.0,7.87,24.0
454,0.0,5.0,25.36,0.85,1.3,21.5,18.2,0.05,-1.0,70.6,22.8,73.0,22.3,72.2,0.0,9.84,24.0
455,-0.5,11.0,23.47,0.65,1.2,21.9,17.5,0.05,1.0,71.5,22.9,73.2,22.6,72.6,1.0,9.84,24.0
456,0.1,5.0,25.47,0.72,1.5,21.8,17.4,0.05,-1.0,71.2,22.6,72.7,22.3,72.2,0.0,9.84,24.0
457,0.4,8.0,27.85,1.38,1.2,21.2,29.9,0.05,0.0,70.2,22.2,72.0,21.9,71.3,0.0,9.84,24.0
458,0.5,10.0,27.69,0.77,1.9,20.8,18.6,0.05,-2.0,69.5,21.5,70.7,21.3,70.3,1.0,9.84,24.0
459,-0.2,6.0,25.0,0.93,1.2,21.3,18.1,0.07,0.0,70.3,22.6,72.7,22.1,71.7,0.0,13.78,24.0
460,0.1,5.0,25.76,0.93,1.3,22.0,20.9,0.03,1.0,71.7,22.0,71.6,22.0,71.7,1.0,5.91,24.0
461,-0.2,6.0,24.41,0.77,1.2,22.4,21.3,0.03,0.0,72.4,22.8,73.0,22.7,72.8,1.0,5.91,24.0
462,0.6,13.0,28.18,0.74,2.0,21.3,20.6,0.04,0.0,70.4,22.0,71.6,21.8,71.2,1.0,7.87,24.0
463,0.5,11.0,28.29,1.05,1.6,22.1,21.4,0.03,0.0,71.8,22.3,72.1,22.3,72.1,1.0,5.91,24.0
464,0.2,6.0,26.26,1.03,1.2,22.4,21.6,0.03,1.0,72.4,23.0,73.4,22.9,73.2,1.0,5.91,24.0
465,0.4,8.0,27.14,1.03,1.3,22.6,22.4,0.04,0.0,72.6,23.1,73.6,22.9,73.3,1.0,7.87,24.0
466,0.0,5.0,25.94,1.08,1.2,21.6,22.0,0.03,-2.0,70.8,22.3,72.1,22.1,71.7,1.0,5.91,24.0
467,-0.6,12.0,23.12,0.57,1.2,22.4,34.1,0.03,0.0,72.4,22.7,72.9,22.6,72.7,0.0,5.91,61.666666666666664
468,0.1,5.0,25.81,0.87,1.2,23.1,33.8,0.04,0.0,73.6,23.1,73.6,23.1,73.7,1.0,7.87,61.666666666666664
469,0.4,8.0,27.16,1.03,1.2,23.8,31.3,0.03,0.0,74.9,23.4,74.1,23.5,74.3,1.0,5.91,48.53333333333333
470,0.4,8.0,27.11,1.02,1.2,23.6,32.1,0.05,0.0,74.4,23.6,74.5,23.6,74.4,0.0,9.84,61.666666666666664
471,-0.2,6.0,24.42,0.73,1.2,22.4,34.3,0.03,0.0,72.3,22.9,73.2,22.7,72.9,0.0,5.91,62.96666666666666
472,0.3,7.0,26.87,1.03,1.2,23.3,32.9,0.05,0.0,73.9,23.1,73.6,23.2,73.7,0.0,9.84,61.666666666666664
473,0.1,5.0,25.66,0.78,1.2,23.7,32.2,0.04,0.0,74.6,23.8,74.8,23.7,74.7,0.0,7.87,61.666666666666664
474,0.7,16.0,29.97,1.42,1.4,22.7,33.4,0.04,0.0,72.8,22.0,71.6,22.2,71.9,0.0,7.87,61.666666666666664
475,0.0,5.0,25.71,0.97,1.2,21.8,35.1,0.04,0.0,71.2,22.4,72.3,22.2,72.0,0.0,7.87,61.666666666666664
476,0.3,7.0,27.02,1.11,1.2,22.1,34.4,0.06,0.0,71.7,23.0,73.4,22.7,72.8,0.0,11.81,61.666666666666664
477,0.1,5.0,25.42,0.67,1.3,23.6,31.9,0.07,1.0,74.5,23.5,74.3,23.5,74.4,1.0,13.78,62.333333333333336
478,0.5,9.0,27.74,1.19,1.2,22.9,32.3,0.04,0.0,73.3,23.1,73.6,23.0,73.5,0.0,7.87,61.666666666666664
479,-0.1,5.0,24.76,0.73,1.2,23.8,31.3,0.03,0.0,74.9,22.7,72.9,23.0,73.4,1.0,5.91,61.666666666666664
480,0.4,9.0,27.28,1.08,1.2,23.7,32.0,0.05,0.0,74.6,23.0,73.4,23.3,73.9,0.0,9.84,61.666666666666664
481,0.1,5.0,25.63,0.78,1.2,23.3,32.9,0.08,0.0,74.0,23.9,75.0,23.7,74.6,1.0,15.75,61.666666666666664
482,0.3,6.0,26.33,0.85,1.2,23.5,31.4,0.04,0.0,74.3,24.3,75.7,24.0,75.3,1.0,7.87,64.86666666666666
483,-0.1,5.0,24.69,0.63,1.2,24.0,29.9,0.04,2.0,75.2,23.8,74.8,23.9,75.0,1.0,7.87,49.4
484,0.3,7.0,26.61,0.98,1.2,23.4,32.2,0.04,-1.0,74.1,23.2,73.8,23.3,73.9,0.0,7.87,52.666666666666664
485,0.1,5.0,25.7,0.82,1.2,23.0,30.2,0.05,0.0,73.4,23.8,74.8,23.6,74.4,0.0,9.84,62.199999999999996
486,0.1,5.0,25.47,0.7,1.4,23.6,27.8,0.04,0.0,74.5,22.6,72.7,22.9,73.2,0.0,7.87,61.666666666666664
487,0.0,5.0,25.12,0.78,1.2,23.4,28.3,0.05,0.0,74.1,23.1,73.6,23.2,73.8,1.0,9.84,61.666666666666664
488,0.5,10.0,27.87,1.0,1.4,22.8,27.0,0.03,0.0,73.1,23.7,74.7,23.4,74.2,0.0,5.91,61.666666666666664
489,-0.1,5.0,25.16,1.04,1.2,22.7,20.2,0.19,-1.0,72.9,21.7,71.1,22.2,72.0,1.0,37.4,38.9
490,0.4,8.0,27.32,1.03,1.4,22.9,19.9,0.08,-2.0,73.1,22.6,72.7,22.7,72.8,0.0,15.75,38.9
491,0.4,8.0,27.1,1.02,1.3,22.7,20.9,0.05,0.0,72.9,23.2,73.8,23.0,73.4,1.0,9.84,38.9
492,0.4,9.0,27.33,0.99,1.4,23.1,20.0,0.03,0.0,73.5,23.0,73.4,23.0,73.4,1.0,5.91,38.9
493,0.5,11.0,28.18,0.97,1.6,23.1,20.1,0.1,-1.0,73.5,22.9,73.2,23.0,73.3,0.0,19.69,38.9
494,-0.2,6.0,24.51,0.73,1.2,23.4,18.5,0.1,0.0,74.0,23.0,73.4,23.2,73.7,0.0,19.69,38.9
495,0.0,5.0,25.13,0.58,1.6,23.4,19.4,0.13,0.0,74.1,22.6,72.7,23.0,73.3,0.0,25.59,38.9
496,0.4,8.0,27.31,1.12,1.2,23.9,20.8,0.09,-2.0,74.9,23.3,73.9,23.5,74.4,0.0,17.72,38.9
497,0.5,11.0,28.38,1.33,1.2,23.3,19.7,0.09,-2.0,74.0,23.4,74.1,23.4,74.1,0.0,17.72,38.9
498,-0.2,6.0,24.71,0.78,1.2,22.8,19.4,0.08,0.0,73.1,23.0,73.4,22.9,73.3,0.0,15.75,38.9
499,0.4,8.0,26.89,0.91,1.4,23.1,17.5,0.04,0.0,73.7,23.3,73.9,23.3,73.9,1.0,7.87,38.9
500,0.3,6.0,26.77,1.03,1.2,22.8,19.5,0.1,0.0,73.0,23.9,75.0,23.4,74.2,0.0,19.69,38.9
501,0.4,8.0,26.58,0.67,1.6,23.5,16.9,0.05,0.0,74.4,24.1,75.4,23.9,75.0,0.0,9.84,38.9
502,0.5,10.0,27.68,1.0,1.3,23.4,19.4,0.06,0.0,74.2,24.4,75.9,24.0,75.2,0.0,11.81,38.9
503,0.1,5.0,26.05,0.95,1.6,19.2,16.9,0.08,-2.0,66.6,20.0,68.0,19.7,67.4,2.0,15.75,16.8
504,-0.2,6.0,25.04,1.13,1.2,20.4,14.4,0.03,0.0,68.8,20.7,69.3,20.7,69.2,1.0,5.91,16.8
505,-0.6,12.0,23.26,0.81,1.2,21.0,16.0,0.03,0.0,69.8,21.0,69.8,21.0,69.8,0.0,5.91,16.8
506,-0.1,5.0,25.2,1.13,1.2,20.9,18.9,0.04,-1.0,69.6,20.6,69.1,20.7,69.3,0.0,7.87,16.8
507,0.7,16.0,29.68,1.1,1.8,21.6,15.3,0.03,0.0,70.9,22.0,71.6,21.9,71.4,0.0,5.91,16.8
508,0.1,5.0,26.02,0.94,1.4,21.5,13.6,0.04,0.0,70.7,22.2,72.0,22.0,71.6,0.0,7.87,16.8
509,-0.1,5.0,25.44,1.0,1.2,21.8,13.0,0.02,1.0,71.2,22.6,72.7,22.4,72.2,0.0,3.94,16.8
510,0.7,14.0,29.5,1.37,1.5,22.1,12.9,0.02,0.0,71.8,21.9,71.4,22.0,71.6,1.0,3.94,16.8
511,-0.2,6.0,24.81,0.81,1.2,22.3,15.1,0.03,0.0,72.2,23.3,73.9,23.0,73.4,0.0,5.91,16.8
512,0.0,5.0,25.55,1.02,1.2,21.7,14.2,0.05,-1.0,71.1,22.5,72.5,22.2,72.0,1.0,9.84,16.8
513,0.2,6.0,26.17,0.87,1.6,21.0,19.6,0.04,0.0,69.7,21.4,70.5,21.2,70.2,0.0,7.87,16.8
514,0.3,6.0,26.34,0.8,1.6,22.2,14.2,0.04,0.0,72.0,22.4,72.3,22.4,72.3,0.0,7.87,16.8
515,0.6,14.0,28.87,0.99,1.8,21.5,15.5,0.08,0.0,70.7,21.9,71.4,21.8,71.2,0.0,15.75,16.8
516,-0.6,12.0,23.23,0.73,1.2,21.7,15.4,0.03,1.0,71.1,21.6,70.9,21.6,70.9,-1.0,5.91,16.8
517,0.0,5.0,25.59,1.11,1.2,21.6,13.8,0.07,0.0,70.8,21.5,70.7,21.5,70.8,0.0,13.78,20.0
518,-0.1,5.0,25.08,1.03,1.2,21.4,14.8,0.02,-1.0,70.6,21.5,70.7,21.5,70.7,0.0,3.94,20.0
519,-0.4,8.0,24.0,0.78,1.2,22.0,16.0,0.04,0.0,71.6,22.2,72.0,22.2,71.9,0.0,7.87,20.0
520,0.0,5.0,25.82,1.1,1.2,21.6,14.1,0.04,0.0,70.9,22.1,71.8,21.9,71.5,1.0,7.87,20.0
521,-0.4,9.0,23.82,0.73,1.2,22.3,14.3,0.06,0.0,72.1,22.4,72.3,22.4,72.3,0.0,11.81,20.0
522,0.2,6.0,26.27,1.03,1.2,23.1,12.0,0.04,0.0,73.5,23.2,73.8,23.1,73.7,1.0,7.87,20.0
523,0.3,6.0,26.8,1.16,1.2,22.7,12.0,0.03,0.0,72.9,22.9,73.2,22.8,73.1,0.0,5.91,20.0
524,0.4,8.0,26.77,0.83,1.6,22.6,11.6,0.03,0.0,72.6,22.9,73.2,22.8,73.0,1.0,5.91,20.0
525,-0.4,9.0,23.75,0.72,1.2,22.1,13.8,0.03,-1.0,71.7,22.5,72.5,22.4,72.4,0.0,5.91,20.0
526,0.5,10.0,27.78,0.96,1.6,22.3,15.2,0.04,0.0,72.2,23.0,73.4,22.8,73.0,0.0,7.87,20.0
527,0.1,5.0,26.23,1.04,1.2,23.0,13.5,0.09,0.0,73.3,23.0,73.4,23.0,73.3,0.0,17.72,20.0
528,-0.2,6.0,24.52,0.73,1.2,23.5,15.2,0.04,0.0,74.3,23.1,73.6,23.2,73.8,0.0,7.87,20.0
529,0.1,5.0,25.56,0.82,1.2,23.8,13.2,0.06,0.0,74.9,23.9,75.0,23.9,74.9,0.0,11.81,20.0
530,0.5,11.0,26.7,0.53,1.8,23.9,13.5,0.04,0.0,74.9,24.3,75.7,24.2,75.5,1.0,7.87,20.0
531,0.7,15.0,27.99,0.7,1.8,23.8,13.5,0.03,1.0,74.9,24.2,75.6,24.1,75.3,-1.0,5.91,20.0
532,0.2,6.0,26.19,0.93,1.2,23.4,12.6,0.06,0.0,74.2,24.0,75.2,23.8,74.9,0.0,11.81,20.0
533,0.4,8.0,26.5,0.66,1.6,23.6,13.3,0.06,1.0,74.5,24.3,75.7,24.0,75.2,3.0,11.81,20.0
534,-0.3,7.0,24.24,0.72,1.2,23.1,15.6,0.1,-1.0,73.6,22.9,73.2,23.0,73.3,0.0,19.69,20.0
535,1.1,29.0,30.31,0.76,2.2,23.5,17.1,0.04,1.0,74.2,23.8,74.8,23.7,74.6,0.0,7.87,20.0
536,0.3,7.0,26.11,0.66,1.6,23.2,15.7,0.05,0.0,73.8,23.5,74.3,23.4,74.2,1.0,9.84,20.0
537,0.1,5.0,25.63,0.81,1.2,23.5,18.5,0.04,2.0,74.4,24.1,75.4,23.9,75.0,0.0,7.87,20.0
538,0.1,5.0,26.26,1.28,1.2,20.9,19.5,0.02,0.0,69.5,20.9,69.6,20.9,69.6,0.0,3.94,26.1
539,0.9,22.0,30.23,0.87,2.3,21.1,18.0,0.03,0.0,69.9,21.3,70.3,21.2,70.2,3.0,5.91,26.1
