Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.08,15,25,63,13,1.69,1,18,22.8,-2,Tunisia
0.1,15.73333333,24.7,60,13,1.24,1.6,25.66666667,22.02666667,-2,Tunisia
0.1,16.6,23.3,64,13,1.22,1,41,20.61,0,Tunisia
0.11,15.66666667,23.7,65,13,1.01,1.2,50,20.1,-2,Tunisia
0.14,17,23.7,60,13,0.91,1.2,34,21.13,0,Tunisia
0.24,18,23.8,53,13,0.55,1,99,16.34,0,Tunisia
0.36,16.7,24.4,59,13,0.81,1.6,21,21,0,Tunisia
0.26,15.4,24.3,61.5,13,0.73,1.2,91,16.89,-1,Tunisia
0.68,16.3,25.8,48,13,0.75,1,99,13.81,-1,Tunisia
0.36,16.6,22.6,59,13,0.7,1.6,32,19.93,0,Tunisia
0.46,16.4,23.2,49,13,0.84,1.2,84,17.55,-1,Tunisia
0.31,15.3,24.7,53,13,0.77,1.6,31,20.16,-1,Tunisia
0.21,15.76666667,24.7,57,13,0.83,1,54,18.57666667,-2,Tunisia
0.29,15.4,24.6,57,13,0.85,1,99,15.64,-2,Tunisia
0.33,17.5,28.9,54,13,0.69,1.4,42,19.76,0,Tunisia
0.37,16.6,26.8,50,13,0.79,1.6,23,20.98,-1,Tunisia
0.28,18.4,27.7,55,13,0.64,1.1,96,17.17,0,Tunisia
0.32,17.03333333,25,59,13,0.66,1.2,98,15.57,-1,Tunisia
0.3,16.8,26.1,62,13,0.68,1.3,84.66666667,17.56333333,-1,Tunisia
0.63,17.3,25.1,54,13,0.58,1,99,13.9,0,Tunisia
0.63,16.5,25.4,54,13,0.74,1.2,95,16.53,0,Tunisia
0.38,15.3,25.2,53,13,1.62,1.3,8,24.63,-1,Tunisia
0.27,16.6,26.1,49,13,0.97,1.2,48,20.09,-1,Tunisia
0.32,16,24.3,54,13,0.75,1,99,15.21,-1,Tunisia
0.27,16.53333333,24.4,56,13,1.62,1.6,54.33333333,20.71666667,-2,Tunisia
0.21,16.6,25.4,59,13,1.21,1,59,19.88,0,Tunisia
0.34,17,25.9,54,13,1.41,1.6,5,27.06,0,Tunisia
0.27,15.2,25.7,52,13,1.11,1,88,17.97,0,Tunisia
0.31,16,26.1,51.5,13,0.71,1.2,95,16.36,0,Tunisia
0.33,15,24.9,56,13,1.2,1.6,9,23.49,-1,Tunisia
0.24,15.4,26.1,60,13,0.85,1.2,75,18.06,-1,Tunisia
0.48,17.3,26.3,53,13,0.79,1,99,16.46,0,Tunisia
0.25,16,25.9,56,13,1.06,1.6,46,20.30333333,-1,Tunisia
0.52,15,26.1,51,13,1.16,1.2,57,18.96,-1,Tunisia
0.24,15.7,26.7,54,13,1.03,1.3,30,20.96,0,Tunisia
0.26,15.5,24,51,13,0.95,1.2,65,18.89,0,Tunisia
0.3,15.9,23,51.5,13,1.74,1.1,15,23.3,0,Tunisia
0.33,16.2,24.3,50,13,1.03,1.2,55,19.26,0,Tunisia
0.29,16.4,25,56,13,1.38,1.3,8,24.53,0,Tunisia
0.34,15.6,25.6,61,13,0.85,1.2,86,17.11,-1,Tunisia
0.2,16.2,23.8,54,13,0.85,1.2,58,19.44,0,Tunisia
0.25,15.7,22.8,57,13,1.48,1,42,20.91,-2,Tunisia
0.34,16.6,23.8,52.5,13,1.11,1.2,37,20.56,0,Tunisia
0.44,17.8,25.2,52,13,1.64,1.2,7,24.88,0,Tunisia
0.32,16.4,25.6,54,13,0.74,1,99,16.01,0,Tunisia
0.29,19.9,16.6,45,13,0.65,1.3,27,21.5,0,Tunisia
0.26,18.8,24.8,70,13,0.9,1,84,17.99,0,Tunisia
0.29,20,21.9,44,13,0.84,1.2,32,21.13,0,Tunisia
0.34,17.9,22.4,60,13,0.97,1,73,19.37,0,Tunisia
0.6,18.8,22.7,59,13,0.93,1.6,9,22.88,0,Tunisia
0.39,20.1,22.8,42,13,1.12,1.2,12,23.31,0,Tunisia
0.29,17.6,24,51,13,0.85,1.6,11,22.73,0,Tunisia
0.28,19.7,24.6,45.5,13,0.4,1.6,25,21,0,Tunisia
0.2,17.6,23.2,58,13,0.82,1.6,8,23.95,0,Tunisia
0.28,20.7,24.5,48,13,0.91,1,30,22.26,1,Tunisia
0.23,18.1,25.1,53,13,0.51,1.6,33,20.12,0,Tunisia
0.36,19.1,25.5,49,13,0.58,1.3,60,19.01,0,Tunisia
0.22,19,26.1,65,13,0.71,1.6,10,23.12,0,Tunisia
0.25,19.2,24.8,59,13,1.62,1.3,6,28.03,0,Tunisia
0.18,19.7,24.9,60,13,1,1,31,21.91,0,Tunisia
0.22,20.2,25.3,59,13,0.14,1,99,13.5,0,Tunisia
0.2,19.3,24.4,52.5,13,0.56,1.6,17,21.8,0,Tunisia
0.3,19.3,24.7,55,13,0.68,1.3,36,20.52,0,Tunisia
